tier,name,director,phone1,phone2,city,spyur_url,website,facebook,staff,founded,updated,flag
"D","ԲԵՍԹ-ԻՆՎԵՍՏ ՍՊԸ","Քրիստինե Ավետյան, տնօրեն","+37496046588","+37494046588","Մարտունի","https://spyur.am/am/companies/best-invest/54837","","https://www.facebook.com/best.invest.acc","","","30.07.2026","call"
"D","ԲԵՍԹՖԻՆ ՀԱՇՎԱՊԱՀԱԿԱՆ ԳՐԱՍԵՆՅԱԿ ՍՊԸ","Սյուզաննա Հարությունյան, տնօրեն","+37493579180","+37498808383","Վարդենիս","https://spyur.am/am/companies/bestfin-accounting-office/55015","","https://www.facebook.com/bestfin.acc","","","31.10.2025","call"
"D","ԲԻ ԷՄ ԲԻ ՓԱՐԹՆԵՐՍ ՍՊԸ","Հովհաննես Բալջյան, համահիմնադիր","+37499309901","+37499807755","Երևան","https://spyur.am/am/companies/bmb-partners/50173","","","","","26.07.2026","call"
"D","ԲԻ ԷՅ ՍԻ ԸՔԱՈՒՆԹԻՆԳ ՀԱՇՎԱՊԱՀԱԿԱՆ ԸՆԿԵՐՈՒԹՅՈՒՆ ՍՊԸ","Կամո Արշավիրի Աբրահամյան, տնօրեն","+37410235653","+37477676716","Երևան","https://spyur.am/am/companies/bac-accounting-accounting-company/27936","http://www.bac.am","https://www.facebook.com/BacAccounting","","","29.01.2026","call"
"D","ԲԻ ԷՅ ՍԻ ՀԱՇՎԱՊԱՀԱԿԱՆ ԳՐԱՍԵՆՅԱԿ ԵՎ ՀԱՇՎԱՊԱՀԱԿԱՆ ԴՊՐՈՑ","Արմեն Ավետիսյան, տնօրեն","+37410235653","+37477676716","Երևան","https://spyur.am/am/companies/bac-accounting-office-and-accounting-school/35889","http://www.bac.am","https://www.facebook.com/BacAccounting","","2012","21.07.2026","call"
"D","ԲԻ-ԴԻ-Օ ԱՐՄԵՆԻԱ","Վահագն Սահակյան, տնօրեն","+37460528899","","Երևան","https://spyur.am/am/companies/bdo-armenia/4248","http://www.bdoarmenia.am","","16-50","2010","21.07.2026","call"
"D","ԲԻԶՆԵՍ ԱՋԱԿԻՑ ՀԱՇՎԱՊԱՀԱԿԱՆ ԳՐԱՍԵՆՅԱԿ ՍՊԸ","Սեդա Ղազարյան, տնօրեն","+37499723995","+37477723995","Լոռու մարզ","https://spyur.am/am/companies/business-ajakic-accountancy-office/54841","","https://www.facebook.com/business.support.acc","","","30.07.2026","call"
"D","ԲԻԶՆԵՍ ՖՈՒԼ ՍԵՐՎԻՍԻԶ ՀԱՇՎԱՊԱՀԱԿԱՆ ՀԱՇՎԱՌՄԱՆ ԳՐԱՍԵՆՅԱԿ ՍՊԸ","Արշակ Մարտիրոսյան, տնօրեն","+37495944090","+37498944090","Արարատ","https://spyur.am/am/companies/business-full-services-accountancy-office/55019","","https://www.facebook.com/business.full.services","","","21.01.2026","call"
"D","ԲԻԼԴ ԷՅՍԻՍԻ ԽՈՐՀՐԴԱՏՎԱԿԱՆ ԵՎ ՀԱՇՎԱՊԱՀԱԿԱՆ ԸՆԿԵՐՈՒԹՅՈՒՆ","Էդգար Հակոբյան, տնօրեն","+37494285171","","Երևան","https://spyur.am/am/companies/build-acc-accounting-and-consulting-company/30904","","","","2007","26.06.2026","call"
"D","ԲԻՕՆ ԿԵՆՏՐՈՆ","Տիգրան Մինասյան, տնօրեն","+37460511010","+37495611010","Գյումրի","https://spyur.am/am/companies/beon-center/48995","https://beon.am/","https://www.facebook.com/profile.php?id=100039448937770","","","19.02.2026","call"
"D","ԳԱԲ ՍՊԸ","Աշոտ Գաբրիելյան, տնօրեն","+37499884849","","Աբովյան","https://spyur.am/am/companies/gab/39250","","","","","23.03.2026","call"
"D","ԳԵԹՎԻՆԳ ՍՊԸ","Աշոտ Կարապետյան, տնօրեն","+37494192691","","Երևան","https://spyur.am/am/companies/getwing/50181","","https://www.facebook.com/getwingcompany","","","05.06.2026","call"
"D","ԳԻՎԵԼԵԿՅԱՆ ԱՐԹՈՒՐ","","+17182244992","","","https://spyur.am/am/companies/givelekian-arthur/37687","","","","","30.04.2026","foreign"
"D","ԳԼՈԲԱԼՖԻՆ ՀԱՇՎԱՊԱՀԱԿԱՆ ԳՐԱՍԵՆՅԱԿ ՍՊԸ","Ասյա Գալստյան, տնօրեն","+37496031975","+37477131975","Գյումրի","https://spyur.am/am/companies/globalfin-accounting-office/54884","","https://www.facebook.com/GlobalFinGyumri","","","09.09.2025","call"
"D","ԳՈՐԾԸՆԿԵՐ ԳՐԱՍԵՆՅԱԿ ՀԱՇՎԱՊԱՀԱԿԱՆ ԿԵՆՏՐՈՆ ՍՊԸ","Աիդա Գրիգորյան, տնօրեն","+37496140103","+37494140103","Գորիս","https://spyur.am/am/companies/gortsnker-grasenyak-accounting-center/54839","","https://www.facebook.com/partner.office.acc","","","07.07.2026","call"
"D","ԳՐԻՆ ԼԱՅՆ ՀԱՇՎԱՊԱՀԱԿԱՆ ԳՐԱՍԵՆՅԱԿ","Դավիթ Դավթյան, տնօրեն","+37441331191","","Երևան","https://spyur.am/am/companies/green-line-accounting-office/51711","","https://www.facebook.com/people/%D4%B3%D5%90%D4%BB%D5%86-%D4%BC%D4%B1%D5%85%D5%86Green-Line/100075955047147/","","","28.11.2025","call"
"D","ԴԱԲԼ ՉԵՔ","","+37444882223","","Երևան","https://spyur.am/am/companies/double-check/59280","","https://www.facebook.com/p/Double-Check-%D5%B0%D5%A1%D5%B7%D5%BE%D5%A1%D5%BA%D5%A1%D5%B0%D5%A1%D5%AF%D5%A1%D5%B6-%D5%A8%D5%B6%D5%AF%D5%A5%D6%80%D5%B8%D6%82%D5%A9%D5%B5%D5%B8%D6%82%D5%B6-61550725721584/","","","09.04.2026","call"
"D","ԴԱՆԵՔՍ ՖԱՅՆԱՆՍ","","+37499024441","","Երևան","https://spyur.am/am/companies/danex-finance/57986","","https://www.facebook.com/people/Danex-Finance/61571660770507/","","","18.08.2026","call"
"D","ԴԱՏԱՖԼԵՔՍ ՍՊԸ","Միքայել Գևորգյան, տնօրեն","+37477504042","+37494320000","Երևան","https://spyur.am/am/companies/dataflex/48945","","https://www.facebook.com/DataFlex-Accounting-107010575058340","","","21.11.2025","call"
"D","ԴԵԲԵՏ ՀԱՇՎԱՊԱՀԱԿԱՆ ԳՐԱՍԵՆՅԱԿ","Լիպարիտ Մելքոնյան, ղեկավար","+37455001919","","Երևան","https://spyur.am/am/companies/debet-accounting-office/38948","","","","","14.08.2026","call"
"D","ԴԵԼՏԱ ՔՈՆՍԱԼԹԻՆԳ","","+37494993536","+37495993536","Երևան","https://spyur.am/am/companies/delta-consulting/56001","https://www.deltaconsulting.am/","","","","04.09.2025","call"
"D","ԴԵՅԹԸ ԸՔԱՈՒՆԹԻՆԳ ՍԵՐՎԻՍ","","+18182469524","","","https://spyur.am/am/companies/data-accounting-service/36981","","","","","30.04.2026","foreign"
"D","ԴԵՐ-ՍԱՐԿԻՍՅԱՆ ԵՎ ԳՈՐԾԸՆԿԵՐՆԵՐ","Զարե Դեր-Սարկիսյան, տնօրեն","+18185000836","","","https://spyur.am/am/companies/der-sarkissian-and-associates/37110","","","","","15.05.2026","foreign"
"D","ԴԵՐ-ՎԱՐԴԱՆՅԱՆ ԲՐԱՅԱՆ","Բրայան Դեր-Վարդանյան, տնօրեն","+18182429755","","","https://spyur.am/am/companies/der-vartanian-brian/37107","https://www.netcpa.com/","","","","15.05.2026","foreign"
"D","ԴԻ ՋԻ ԲԻԶՆԵՍ ԸԴՎԱՅՍ","Դավիթ Գլջյան, տնօրեն","+37493060644","","Երևան","https://spyur.am/am/companies/dg-business-advice/32102","","https://www.facebook.com/dgbusinessadvice/about","","","29.01.2026","call"
"D","ԴՈՐՄ ՀԱՇՎԱՊԱՀԱԿԱՆ ԸՆԿԵՐՈՒԹՅՈՒՆ ՍՊԸ","Արտյոմ Ոսկանյան, տնօրեն","+37441442224","","Երևան","https://spyur.am/am/companies/dorm-accounting-company/58138","","https://www.facebook.com/share/1aY4iTMAFe/?mibextid=wwXIfr","","","09.09.2026","call"
"D","ԴՈՔՈՒՄԵՆ ՓԲԸ","Էդուարդ Վարդազարյան, տնօրեն","+37441990991","","Երևան","https://spyur.am/am/companies/documan/53297","https://www.documan.am/","","","","28.08.2026","call"
"D","ԵՐԵՔ ՈՒՂՂՈՒԹՅՈՒՆ ՓԲԸ","","+37410574219","","Երևան","https://spyur.am/am/companies/three-directions/33489","","","","","26.05.2026","call"
"D","ԶԱՐԴԱՐՅԱՆ ՔՈՆՍԱԼԹԻՆԳ ՀԱՇՎԱՊԱՀԱԿԱՆ ԳՐԱՍԵՆՅԱԿ","","+37441433222","","Երևան","https://spyur.am/am/companies/zardaryan-consulting-accounting-office/51959","","https://www.facebook.com/don7788","","","10.03.2026","call"
